objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
90;private;;0;1.0;0.0;{3C80238B-6C8B-4EDE-A947-253444F821C2};"{""type"": ""Point"", ""coordinates"": [-79.06912806701739, 35.927218641515815]}";"35.9272186415; -79.069128067"
88;private;;0;1.0;0.0;{75B30F44-6707-4548-A24E-8CC5A0C24963};"{""type"": ""Point"", ""coordinates"": [-79.07033290723132, 35.930705519630266]}";"35.9307055196; -79.0703329072"
89;public;;0;1.0;0.0;{F1D92EE1-11EF-4A8F-8770-D199654D5B51};"{""type"": ""Point"", ""coordinates"": [-79.07024552052067, 35.92972810944005]}";"35.9297281094; -79.0702455205"
129;public;;0;1.0;0.0;{43918A79-9521-4496-B2BA-03BB46A505FD};"{""type"": ""Point"", ""coordinates"": [-79.03509266967005, 35.926840301516656]}";"35.9268403015; -79.0350926697"
119;public;;0;1.0;0.0;{CD012082-0B92-4405-B862-4F9290B54577};"{""type"": ""Point"", ""coordinates"": [-79.05627997491024, 35.930174165904276]}";"35.9301741659; -79.0562799749"
117;private;;0;1.0;0.0;{8DAB93CE-5F26-4CFB-9589-5BCDFEAE48B7};"{""type"": ""Point"", ""coordinates"": [-79.05807082626495, 35.93472139634647]}";"35.9347213963; -79.0580708263"
134;public;;0;1.0;0.0;{F76073E3-CDB9-4A00-B101-48717E97A864};"{""type"": ""Point"", ""coordinates"": [-79.05841512585025, 35.9212419268779]}";"35.9212419269; -79.0584151259"
114;public;;0;1.0;0.0;{5590978D-A930-4356-AF9B-54496B91A1D2};"{""type"": ""Point"", ""coordinates"": [-79.04654962054727, 35.93216065637643]}";"35.9321606564; -79.0465496205"
233;public;;0;1.0;0.0;{F38C53F7-DAB2-4A61-873B-C7B172AF6A1B};"{""type"": ""Point"", ""coordinates"": [-79.06756411858265, 35.893495069561496]}";"35.8934950696; -79.0675641186"
228;public;;0;1.0;0.0;{71EA4443-AF95-4CDD-9752-CF1922FEAFD0};"{""type"": ""Point"", ""coordinates"": [-79.06231773816774, 35.90466299804336]}";"35.904662998; -79.0623177382"
239;public;;0;1.0;0.0;{C847F464-3355-4D03-A2B2-97CE4D0DFD7C};"{""type"": ""Point"", ""coordinates"": [-79.06217079504268, 35.8998761482486]}";"35.8998761482; -79.062170795"
291;private;;0;1.0;0.0;{50796781-6916-4E29-87E9-DE21253464D2};"{""type"": ""Point"", ""coordinates"": [-79.02617304234869, 35.911182797736885]}";"35.9111827977; -79.0261730423"
317;private;;0;1.0;0.0;{97C86732-6C3C-48B6-92EF-E42AC746F29F};"{""type"": ""Point"", ""coordinates"": [-79.04811058859637, 35.910452908554475]}";"35.9104529086; -79.0481105886"
324;public;;0;1.0;0.0;{B30D9776-BBBD-41CD-8A0D-578D88387F90};"{""type"": ""Point"", ""coordinates"": [-79.05155466017453, 35.90872906286905]}";"35.9087290629; -79.0515546602"
302;public;;0;1.0;0.0;{9796F52A-FE36-4CD0-9928-6CD1036B4DAF};"{""type"": ""Point"", ""coordinates"": [-79.01045463432031, 35.89668099296121]}";"35.896680993; -79.0104546343"
315;public;;0;1.0;0.0;{1C4D8D9E-E669-4C2B-8BDD-5079E9B85C62};"{""type"": ""Point"", ""coordinates"": [-79.0475350769899, 35.91243221978252]}";"35.9124322198; -79.047535077"
339;public;;0;1.0;0.0;{4FC517DD-C7D8-4B70-9045-D1015B5A2A3C};"{""type"": ""Point"", ""coordinates"": [-79.04754381031461, 35.90304846097714]}";"35.903048461; -79.0475438103"
354;public;;0;1.0;0.0;{2EC2C9C0-7396-480F-8687-0183F2AE4C58};"{""type"": ""Point"", ""coordinates"": [-79.01212600253038, 35.90040120997245]}";"35.90040121; -79.0121260025"
343;public;;0;1.0;0.0;{95CFC00F-53E8-489B-8AE3-53E7BBAE8CD3};"{""type"": ""Point"", ""coordinates"": [-79.0546328834121, 35.90432945147342]}";"35.9043294515; -79.0546328834"
340;public;;0;1.0;0.0;{9B0DEA75-A580-41E3-8414-0998127E647F};"{""type"": ""Point"", ""coordinates"": [-79.05106980050705, 35.9042926172998]}";"35.9042926173; -79.0510698005"
405;private;;0;1.0;0.0;{B414BD55-F53A-4FD4-8817-38D4BD64C854};"{""type"": ""Point"", ""coordinates"": [-79.05570989148644, 35.93798688285475]}";"35.9379868829; -79.0557098915"
371;public;;0;1.0;0.0;{4BDD6128-9D2B-4426-84F9-39BF75AA704D};"{""type"": ""Point"", ""coordinates"": [-79.02724720235572, 35.95707114909166]}";"35.9570711491; -79.0272472024"
378;public;;0;1.0;0.0;{CA8F29F9-E33F-4FD9-9B15-A6C003E8030B};"{""type"": ""Point"", ""coordinates"": [-79.05380358497882, 35.960817650473814]}";"35.9608176505; -79.053803585"
381;public;;0;1.0;0.0;{C2ADAF19-0674-48D2-94B1-1931CB637386};"{""type"": ""Point"", ""coordinates"": [-79.00609143263452, 35.95039631556574]}";"35.9503963156; -79.0060914326"
397;public;;0;1.0;0.0;{2A9A3A27-9D14-41B5-B57D-C15290248F2E};"{""type"": ""Point"", ""coordinates"": [-79.020748814502, 35.93696908030763]}";"35.9369690803; -79.0207488145"
409;public;;0;1.0;0.0;{4BFC2185-E88A-4716-8DEB-1C1745671828};"{""type"": ""Point"", ""coordinates"": [-79.00907934830848, 35.93284967351527]}";"35.9328496735; -79.0090793483"
406;public;;0;1.0;0.0;{D2E81E6A-75FD-4552-9C7B-97D3198140DD};"{""type"": ""Point"", ""coordinates"": [-79.03107866733633, 35.92966474920489]}";"35.9296647492; -79.0310786673"
408;public;;0;1.0;0.0;{2ACC74A0-9236-4123-B704-A50A78CA9319};"{""type"": ""Point"", ""coordinates"": [-79.0183950800482, 35.9304627761071]}";"35.9304627761; -79.01839508"
412;public;;0;1.0;0.0;{BBD48101-6C59-4134-99CC-6C53108481E5};"{""type"": ""Point"", ""coordinates"": [-79.0516397618459, 35.926949355395]}";"35.9269493554; -79.0516397618"
448;public;875;0;1.0;0.0;{90E051BF-D193-41F7-86ED-A26E09221484};"{""type"": ""Point"", ""coordinates"": [-79.05463899735489, 35.92874877908274]}";"35.9287487791; -79.0546389974"
